,State Agency or Indian Tribal Organization,Child Part,Avg Food Cost per Person,Cumulative Food Cost,Nutritional services admin annual cost,Infants Full Breastfed Part,Infants partially Breastfed Part,Part Infants Formula-fed,Total Infants Part,Pregnant Women Part,Tot Breastfeeding Women Part,Fully Breastfeeding Women Part,Partially Breastfeeding Women Part,Postpartum Women Part,Total Women Part,Cumulative Rebate Cost
35,Arkansas,38700.0833333333,43.8098403479001,44275758,18790624.0,1964.33333333333,1118.0,20498.4166666667,23580.75,9936.5,3031,2040.83333333333,990.166666666667,8971.25,21938.75,25263846
36,Louisiana,58117.0833333333,48.0374484559403,74324501,30231281.0,1591.25,2410.5,33555.9166666667,37557.6666666667,14634.4166666667,3585.5,1720.91666666667,1864.58333333333,15040.3333333333,33260.25,40175498
37,New Mexico,26715.5833333333,35.9318393561718,22484600,13689320.0,2517.0833333333303,1095.83333333333,9111.5,12724.4166666667,4876,4720.83333333333,2297.0833333333303,2423.75,3109.58333333333,12706.4166666667,12070509
38,Oklahoma,43116.5,38.2259672218331,39676528,20997740.0,2915.8333333333303,1100.58333333333,17652.0,21668.4166666667,10316.1666666667,4757.16666666667,2928.9166666666697,1828.25,6637.33333333333,21710.6666666667,22937936
40,Texas,430241.916666667,28.8863941689833,307261975,185368052.0,20569.4166666667,83153.4166666667,115293.16666666699,219016,85145.4166666667,107300.916666667,19027.1666666667,88273.75,44704.9166666667,237151.25,215316847
41,"Acoma, Canoncito & Laguna, NM",250.333333333333,46.9426739214924,241567,400234.0,33.8333333333333,9.91666666666667,42.0833333333333,85.8333333333333,34.0833333333333,44,34.8333333333333,9.16666666666667,14.5833333333333,92.6666666666667,0
42,"Eight Northern Pueblos, NM",133.5,58.9154829545455,165906,207935.0,7.5,5.75,41.5833333333333,54.8333333333333,19.8333333333333,13.1666666666667,7.66666666666667,5.5,13.3333333333333,46.3333333333333,0
43,"Five Sandoval Pueblos, NM",116.416666666667,59.187253848908,165310,261756.0,8.83333333333333,5.33333333333333,54.1666666666667,68.3333333333333,20.9166666666667,14.1666666666667,8.83333333333333,5.33333333333333,12.9166666666667,48,16943
44,"Isleta Pueblo, NM",492.666666666667,47.5640779801854,595312,446983.0,48.3333333333333,48.6666666666667,210.0,307,72.25,91.9166666666667,47.8333333333333,44.0833333333333,79.1666666666667,243.333333333333,135646
45,"San Felipe Pueblo, NM",154.583333333333,58.1519026824704,186435,223257.0,14.5,11.333333333333302,32.6666666666667,58.5,18.9166666666667,23.9166666666667,13.25,10.6666666666667,11.25,54.0833333333333,0
46,"Santo Domingo Tribe, NM",101.083333333333,96.2929745889387,193260,282182.0,9.58333333333333,3.8333333333333304,17.5,30.9166666666667,14.6666666666667,12.9166666666667,9.58333333333333,3.3333333333333304,7.66666666666667,35.25,0
47,"Zuni Pueblo, NM",434.583333333333,57.2067234737948,490090,432730.0,62.6666666666667,18.3333333333333,52.0,133,45.0833333333333,83.25,65.25,18.0,18,146.333333333333,29975
48,"Cherokee Nation, OK",3542,40.4316806582,3380978,2559368.0,167.416666666667,67.8333333333333,1607.33333333333,1842.58333333333,783.333333333333,232.166666666667,161.833333333333,70.3333333333333,568.416666666667,1583.91666666667,1833928
49,"Chickasaw Nation, OK",1938,36.6580038265306,1609433,2522089.0,120.583333333333,60.6666666666667,718.5,899.75,338.833333333333,187.583333333333,132.583333333333,55.0,294.5,820.916666666667,841717
50,"Choctaw Nation, OK",2162.5,37.6497013090642,1745779,1358252.0,98.5,42.0,752.833333333333,893.333333333333,326.083333333333,140.5,98.5,42.0,341.666666666667,808.25,937194
51,"Citizen Potawatomi Nation, OK",614.416666666667,37.7343854936199,561865,3997586.0,39.5,18.25,277.41666666666697,335.166666666667,122.583333333333,57.4166666666667,40.5833333333333,16.8333333333333,111.25,291.25,342138
